id,trial,domain,domain_char,trial_domain,condition,condition_char,trial_condition,stimulus,stimulus_char,response,response_char,category,category_char,correct,change_point
2,1,1,Disease,1,8,brucellosis,1,49,sheep,1,infected,1,infected,1,FALSE
2,2,1,Disease,2,8,brucellosis,2,29,gorilla,1,infected,1,infected,1,FALSE
2,3,1,Disease,3,8,brucellosis,3,27,giraffe,1,infected,1,infected,1,FALSE
2,4,1,Disease,4,8,brucellosis,4,14,chimpanzee,1,infected,1,infected,1,FALSE
2,5,1,Disease,5,8,brucellosis,5,45,rat,1,infected,1,infected,1,FALSE
2,6,1,Disease,6,8,brucellosis,6,1,antelope,1,infected,0,healthy,0,FALSE
2,7,1,Disease,7,8,brucellosis,7,22,elephant,1,infected,1,infected,1,FALSE
2,8,1,Disease,8,8,brucellosis,8,21,dog,1,infected,0,healthy,0,FALSE
2,9,1,Disease,9,8,brucellosis,9,60,zebra,1,infected,0,healthy,0,FALSE
2,10,1,Disease,10,8,brucellosis,10,20,deer,0,healthy,1,infected,0,FALSE
2,11,1,Disease,11,8,brucellosis,11,11,cat,1,infected,0,healthy,0,FALSE
2,12,1,Disease,12,8,brucellosis,12,58,tiger,0,healthy,1,infected,0,FALSE
2,13,1,Disease,13,8,brucellosis,13,18,cow,0,healthy,0,healthy,1,FALSE
2,14,1,Disease,14,8,brucellosis,14,37,monkey,1,infected,1,infected,1,FALSE
2,15,1,Disease,15,8,brucellosis,15,15,chipmunk,1,infected,1,infected,1,FALSE
2,16,1,Disease,16,8,brucellosis,16,28,goat,1,infected,1,infected,1,FALSE
2,17,1,Disease,17,8,brucellosis,17,31,horse,0,healthy,0,healthy,1,FALSE
2,18,1,Disease,18,8,brucellosis,18,5,beaver,1,infected,1,infected,1,FALSE
2,19,1,Disease,19,8,brucellosis,19,10,camel,1,infected,1,infected,1,FALSE
2,20,1,Disease,20,8,brucellosis,20,44,rabbit,0,healthy,1,infected,0,FALSE
2,21,1,Disease,21,8,brucellosis,21,35,lion,0,healthy,1,infected,0,FALSE
2,22,1,Disease,22,8,brucellosis,22,49,sheep,1,infected,1,infected,1,FALSE
2,23,1,Disease,23,8,brucellosis,23,60,zebra,0,healthy,0,healthy,1,FALSE
2,24,1,Disease,24,8,brucellosis,24,45,rat,1,infected,1,infected,1,FALSE
2,25,1,Disease,25,8,brucellosis,25,15,chipmunk,1,infected,1,infected,1,FALSE
2,26,1,Disease,26,8,brucellosis,26,18,cow,1,infected,0,healthy,0,FALSE
2,27,1,Disease,27,8,brucellosis,27,37,monkey,1,infected,1,infected,1,FALSE
2,28,1,Disease,28,8,brucellosis,28,21,dog,0,healthy,0,healthy,1,FALSE
2,29,1,Disease,29,8,brucellosis,29,11,cat,1,infected,0,healthy,0,FALSE
2,30,1,Disease,30,8,brucellosis,30,1,antelope,1,infected,0,healthy,0,FALSE
2,31,1,Disease,31,8,brucellosis,31,20,deer,1,infected,1,infected,1,FALSE
2,32,1,Disease,32,8,brucellosis,32,22,elephant,1,infected,1,infected,1,FALSE
2,33,1,Disease,33,8,brucellosis,33,5,beaver,1,infected,1,infected,1,FALSE
2,34,1,Disease,34,8,brucellosis,34,27,giraffe,1,infected,1,infected,1,FALSE
2,35,1,Disease,35,8,brucellosis,35,29,gorilla,1,infected,1,infected,1,FALSE
2,36,1,Disease,36,8,brucellosis,36,58,tiger,1,infected,1,infected,1,FALSE
2,37,1,Disease,37,8,brucellosis,37,35,lion,1,infected,1,infected,1,FALSE
2,38,1,Disease,38,8,brucellosis,38,10,camel,1,infected,1,infected,1,FALSE
2,39,1,Disease,39,8,brucellosis,39,31,horse,0,healthy,0,healthy,1,FALSE
2,40,1,Disease,40,8,brucellosis,40,44,rabbit,1,infected,1,infected,1,FALSE
2,41,1,Disease,41,8,brucellosis,41,28,goat,1,infected,1,infected,1,FALSE
2,42,1,Disease,42,8,brucellosis,42,14,chimpanzee,1,infected,1,infected,1,FALSE
2,43,1,Disease,43,11,heartwater,1,60,zebra,1,infected,1,infected,1,TRUE
2,44,1,Disease,44,11,heartwater,2,35,lion,1,infected,1,infected,1,FALSE
2,45,1,Disease,45,11,heartwater,3,14,chimpanzee,1,infected,1,infected,1,FALSE
2,46,1,Disease,46,11,heartwater,4,11,cat,0,healthy,1,infected,0,FALSE
2,47,1,Disease,47,11,heartwater,5,10,camel,1,infected,1,infected,1,FALSE
2,48,1,Disease,48,11,heartwater,6,49,sheep,1,infected,0,healthy,0,FALSE
2,49,1,Disease,49,11,heartwater,7,27,giraffe,1,infected,1,infected,1,FALSE
2,50,1,Disease,50,11,heartwater,8,18,cow,0,healthy,0,healthy,1,FALSE
2,51,1,Disease,51,11,heartwater,9,37,monkey,1,infected,1,infected,1,FALSE
2,52,1,Disease,52,11,heartwater,10,15,chipmunk,1,infected,1,infected,1,FALSE
2,53,1,Disease,53,11,heartwater,11,1,antelope,0,healthy,0,healthy,1,FALSE
2,54,1,Disease,54,11,heartwater,12,5,beaver,1,infected,1,infected,1,FALSE
2,55,1,Disease,55,11,heartwater,13,22,elephant,1,infected,1,infected,1,FALSE
2,56,1,Disease,56,11,heartwater,14,58,tiger,1,infected,1,infected,1,FALSE
2,57,1,Disease,57,11,heartwater,15,29,gorilla,1,infected,1,infected,1,FALSE
2,58,1,Disease,58,11,heartwater,16,44,rabbit,1,infected,1,infected,1,FALSE
2,59,1,Disease,59,11,heartwater,17,45,rat,1,infected,1,infected,1,FALSE
2,60,1,Disease,60,11,heartwater,18,28,goat,1,infected,0,healthy,0,FALSE
2,61,1,Disease,61,11,heartwater,19,21,dog,0,healthy,1,infected,0,FALSE
2,62,1,Disease,62,11,heartwater,20,31,horse,0,healthy,1,infected,0,FALSE
2,63,1,Disease,63,11,heartwater,21,20,deer,1,infected,0,healthy,0,FALSE
2,64,1,Disease,64,11,heartwater,22,5,beaver,1,infected,1,infected,1,FALSE
2,65,1,Disease,65,11,heartwater,23,27,giraffe,1,infected,1,infected,1,FALSE
2,66,1,Disease,66,11,heartwater,24,45,rat,1,infected,1,infected,1,FALSE
2,67,1,Disease,67,11,heartwater,25,22,elephant,1,infected,1,infected,1,FALSE
2,68,1,Disease,68,11,heartwater,26,44,rabbit,1,infected,1,infected,1,FALSE
2,69,1,Disease,69,11,heartwater,27,18,cow,0,healthy,0,healthy,1,FALSE
2,70,1,Disease,70,11,heartwater,28,58,tiger,1,infected,1,infected,1,FALSE
2,71,1,Disease,71,11,heartwater,29,14,chimpanzee,1,infected,1,infected,1,FALSE
2,72,1,Disease,72,11,heartwater,30,10,camel,1,infected,1,infected,1,FALSE
2,73,1,Disease,73,11,heartwater,31,31,horse,0,healthy,1,infected,0,FALSE
2,74,1,Disease,74,11,heartwater,32,28,goat,0,healthy,0,healthy,1,FALSE
2,75,1,Disease,75,11,heartwater,33,60,zebra,0,healthy,1,infected,0,FALSE
2,76,1,Disease,76,11,heartwater,34,15,chipmunk,1,infected,1,infected,1,FALSE
2,77,1,Disease,77,11,heartwater,35,11,cat,1,infected,1,infected,1,FALSE
2,78,1,Disease,78,11,heartwater,36,29,gorilla,1,infected,1,infected,1,FALSE
2,79,1,Disease,79,11,heartwater,37,20,deer,1,infected,0,healthy,0,FALSE
2,80,1,Disease,80,11,heartwater,38,37,monkey,1,infected,1,infected,1,FALSE
2,81,1,Disease,81,11,heartwater,39,21,dog,1,infected,1,infected,1,FALSE
2,82,1,Disease,82,11,heartwater,40,1,antelope,0,healthy,0,healthy,1,FALSE
2,83,1,Disease,83,11,heartwater,41,35,lion,1,infected,1,infected,1,FALSE
2,84,1,Disease,84,11,heartwater,42,49,sheep,0,healthy,0,healthy,1,FALSE
2,85,1,Disease,85,2,paratuberculosis,1,22,elephant,0,healthy,1,infected,0,TRUE
2,86,1,Disease,86,2,paratuberculosis,2,20,deer,1,infected,0,healthy,0,FALSE
2,87,1,Disease,87,2,paratuberculosis,3,10,camel,1,infected,1,infected,1,FALSE
2,88,1,Disease,88,2,paratuberculosis,4,37,monkey,1,infected,0,healthy,0,FALSE
2,89,1,Disease,89,2,paratuberculosis,5,27,giraffe,1,infected,1,infected,1,FALSE
2,90,1,Disease,90,2,paratuberculosis,6,49,sheep,0,healthy,0,healthy,1,FALSE
2,91,1,Disease,91,2,paratuberculosis,7,58,tiger,1,infected,1,infected,1,FALSE
2,92,1,Disease,92,2,paratuberculosis,8,35,lion,1,infected,1,infected,1,FALSE
2,93,1,Disease,93,2,paratuberculosis,9,44,rabbit,1,infected,0,healthy,0,FALSE
2,94,1,Disease,94,2,paratuberculosis,10,18,cow,0,healthy,0,healthy,1,FALSE
2,95,1,Disease,95,2,paratuberculosis,11,11,cat,1,infected,0,healthy,0,FALSE
2,96,1,Disease,96,2,paratuberculosis,12,15,chipmunk,1,infected,0,healthy,0,FALSE
2,97,1,Disease,97,2,paratuberculosis,13,29,gorilla,1,infected,0,healthy,0,FALSE
2,98,1,Disease,98,2,paratuberculosis,14,14,chimpanzee,0,healthy,0,healthy,1,FALSE
2,99,1,Disease,99,2,paratuberculosis,15,21,dog,0,healthy,0,healthy,1,FALSE
2,100,1,Disease,100,2,paratuberculosis,16,60,zebra,0,healthy,0,healthy,1,FALSE
