id,trial,domain,domain_char,trial_domain,condition,condition_char,trial_condition,stimulus,stimulus_char,response,response_char,category,category_char,correct,change_point
1,1,3,Produce,1,6,summer,1,32,kale,1,out of season,0,in season,0,FALSE
1,2,3,Produce,2,6,summer,2,38,mushrooms,1,out of season,0,in season,0,FALSE
1,3,3,Produce,3,6,summer,3,55,swiss chards,0,in season,0,in season,1,FALSE
1,4,3,Produce,4,6,summer,4,8,brussel sprouts,1,out of season,0,in season,0,FALSE
1,5,3,Produce,5,6,summer,5,3,bay leaves,0,in season,1,out of season,0,FALSE
1,6,3,Produce,6,6,summer,6,42,pineapples,0,in season,0,in season,1,FALSE
1,7,3,Produce,7,6,summer,7,40,parsnips,0,in season,0,in season,1,FALSE
1,8,3,Produce,8,6,summer,8,39,onions,1,out of season,0,in season,0,FALSE
1,9,3,Produce,9,6,summer,9,2,avocados,0,in season,1,out of season,0,FALSE
1,10,3,Produce,10,6,summer,10,23,garlic,1,out of season,1,out of season,1,FALSE
1,11,3,Produce,11,6,summer,11,46,sage,1,out of season,1,out of season,1,FALSE
1,12,3,Produce,12,6,summer,12,34,lettuces,1,out of season,0,in season,0,FALSE
1,13,3,Produce,13,6,summer,13,6,beets,1,out of season,1,out of season,1,FALSE
1,14,3,Produce,14,6,summer,14,16,collard greens,0,in season,0,in season,1,FALSE
1,15,3,Produce,15,6,summer,15,13,celeries,0,in season,0,in season,1,FALSE
1,16,3,Produce,16,6,summer,16,33,kiwifruits,1,out of season,0,in season,0,FALSE
1,17,3,Produce,17,6,summer,17,9,cabbages,1,out of season,0,in season,0,FALSE
1,18,3,Produce,18,6,summer,18,59,turnips,0,in season,0,in season,1,FALSE
1,19,3,Produce,19,9,fall,1,55,swiss chards,0,in season,1,out of season,0,FALSE
1,20,3,Produce,20,9,fall,2,59,turnips,1,out of season,1,out of season,1,FALSE
1,21,3,Produce,21,9,fall,3,13,celeries,1,out of season,1,out of season,1,FALSE
1,22,3,Produce,22,9,fall,4,39,onions,0,in season,1,out of season,0,FALSE
1,23,3,Produce,23,9,fall,5,9,cabbages,0,in season,1,out of season,0,FALSE
1,24,3,Produce,24,9,fall,6,34,lettuces,1,out of season,0,in season,0,FALSE
1,25,3,Produce,25,9,fall,7,16,collard greens,0,in season,1,out of season,0,FALSE
1,26,3,Produce,26,9,fall,8,2,avocados,1,out of season,0,in season,0,FALSE
1,27,3,Produce,27,9,fall,9,33,kiwifruits,0,in season,1,out of season,0,FALSE
1,28,3,Produce,28,9,fall,10,46,sage,0,in season,1,out of season,0,FALSE
1,29,3,Produce,29,9,fall,11,23,garlic,1,out of season,1,out of season,1,FALSE
1,30,3,Produce,30,9,fall,12,32,kale,1,out of season,1,out of season,1,FALSE
1,31,3,Produce,31,9,fall,13,3,bay leaves,1,out of season,1,out of season,1,FALSE
1,32,3,Produce,32,9,fall,14,6,beets,1,out of season,1,out of season,1,FALSE
1,33,3,Produce,33,9,fall,15,40,parsnips,1,out of season,1,out of season,1,FALSE
1,34,3,Produce,34,9,fall,16,8,brussel sprouts,0,in season,1,out of season,0,FALSE
1,35,3,Produce,35,9,fall,17,42,pineapples,1,out of season,1,out of season,1,FALSE
1,36,3,Produce,36,9,fall,18,38,mushrooms,0,in season,1,out of season,0,FALSE
1,37,3,Produce,37,12,winter,1,32,kale,0,in season,1,out of season,0,FALSE
1,38,3,Produce,38,12,winter,2,16,collard greens,0,in season,1,out of season,0,FALSE
1,39,3,Produce,39,12,winter,3,40,parsnips,1,out of season,1,out of season,1,FALSE
1,40,3,Produce,40,12,winter,4,38,mushrooms,1,out of season,1,out of season,1,FALSE
1,41,3,Produce,41,12,winter,5,42,pineapples,1,out of season,1,out of season,1,FALSE
1,42,3,Produce,42,12,winter,6,13,celeries,0,in season,1,out of season,0,FALSE
1,43,3,Produce,43,12,winter,7,3,bay leaves,1,out of season,1,out of season,1,FALSE
1,44,3,Produce,44,12,winter,8,9,cabbages,1,out of season,1,out of season,1,FALSE
1,45,3,Produce,45,12,winter,9,46,sage,1,out of season,1,out of season,1,FALSE
1,46,3,Produce,46,12,winter,10,6,beets,1,out of season,1,out of season,1,FALSE
1,47,3,Produce,47,12,winter,11,59,turnips,1,out of season,1,out of season,1,FALSE
1,48,3,Produce,48,12,winter,12,8,brussel sprouts,1,out of season,1,out of season,1,FALSE
1,49,3,Produce,49,12,winter,13,39,onions,1,out of season,1,out of season,1,FALSE
1,50,3,Produce,50,12,winter,14,34,lettuces,1,out of season,0,in season,0,FALSE
1,51,3,Produce,51,12,winter,15,33,kiwifruits,0,in season,1,out of season,0,FALSE
1,52,3,Produce,52,12,winter,16,2,avocados,1,out of season,1,out of season,1,FALSE
1,53,3,Produce,53,12,winter,17,55,swiss chards,0,in season,1,out of season,0,FALSE
1,54,3,Produce,54,12,winter,18,23,garlic,1,out of season,0,in season,0,FALSE
1,55,3,Produce,55,3,spring,1,55,swiss chards,0,in season,1,out of season,0,FALSE
1,56,3,Produce,56,3,spring,2,23,garlic,1,out of season,1,out of season,1,FALSE
1,57,3,Produce,57,3,spring,3,59,turnips,1,out of season,1,out of season,1,FALSE
1,58,3,Produce,58,3,spring,4,3,bay leaves,1,out of season,0,in season,0,FALSE
1,59,3,Produce,59,3,spring,5,34,lettuces,0,in season,0,in season,1,FALSE
1,60,3,Produce,60,3,spring,6,42,pineapples,0,in season,1,out of season,0,FALSE
1,61,3,Produce,61,3,spring,7,46,sage,1,out of season,0,in season,0,FALSE
1,62,3,Produce,62,3,spring,8,13,celeries,0,in season,1,out of season,0,FALSE
1,63,3,Produce,63,3,spring,9,33,kiwifruits,0,in season,1,out of season,0,FALSE
1,64,3,Produce,64,3,spring,10,8,brussel sprouts,0,in season,1,out of season,0,FALSE
1,65,3,Produce,65,3,spring,11,32,kale,1,out of season,1,out of season,1,FALSE
1,66,3,Produce,66,3,spring,12,38,mushrooms,1,out of season,1,out of season,1,FALSE
1,67,3,Produce,67,3,spring,13,39,onions,1,out of season,1,out of season,1,FALSE
1,68,3,Produce,68,3,spring,14,16,collard greens,1,out of season,1,out of season,1,FALSE
1,69,3,Produce,69,3,spring,15,6,beets,1,out of season,0,in season,0,FALSE
1,70,3,Produce,70,3,spring,16,2,avocados,0,in season,1,out of season,0,FALSE
1,71,3,Produce,71,3,spring,17,40,parsnips,1,out of season,1,out of season,1,FALSE
1,72,3,Produce,72,3,spring,18,9,cabbages,1,out of season,1,out of season,1,FALSE
1,73,1,Disease,1,11,heartwater,1,29,gorilla,1,infected,1,infected,1,FALSE
1,74,1,Disease,2,11,heartwater,2,58,tiger,1,infected,1,infected,1,FALSE
1,75,1,Disease,3,11,heartwater,3,27,giraffe,1,infected,1,infected,1,FALSE
1,76,1,Disease,4,11,heartwater,4,5,beaver,0,healthy,1,infected,0,FALSE
1,77,1,Disease,5,11,heartwater,5,21,dog,1,infected,1,infected,1,FALSE
1,78,1,Disease,6,11,heartwater,6,22,elephant,1,infected,1,infected,1,FALSE
1,79,1,Disease,7,11,heartwater,7,37,monkey,0,healthy,1,infected,0,FALSE
1,80,1,Disease,8,11,heartwater,8,28,goat,1,infected,0,healthy,0,FALSE
1,81,1,Disease,9,11,heartwater,9,49,sheep,1,infected,0,healthy,0,FALSE
1,82,1,Disease,10,11,heartwater,10,18,cow,1,infected,0,healthy,0,FALSE
1,83,1,Disease,11,11,heartwater,11,60,zebra,1,infected,1,infected,1,FALSE
1,84,1,Disease,12,11,heartwater,12,11,cat,1,infected,1,infected,1,FALSE
1,85,1,Disease,13,11,heartwater,13,10,camel,0,healthy,1,infected,0,FALSE
1,86,1,Disease,14,11,heartwater,14,15,chipmunk,1,infected,1,infected,1,FALSE
1,87,1,Disease,15,11,heartwater,15,1,antelope,1,infected,0,healthy,0,FALSE
1,88,1,Disease,16,11,heartwater,16,35,lion,1,infected,1,infected,1,FALSE
1,89,1,Disease,17,11,heartwater,17,45,rat,0,healthy,1,infected,0,FALSE
1,90,1,Disease,18,11,heartwater,18,31,horse,0,healthy,1,infected,0,FALSE
1,91,1,Disease,19,11,heartwater,19,44,rabbit,1,infected,1,infected,1,FALSE
1,92,1,Disease,20,11,heartwater,20,20,deer,1,infected,0,healthy,0,FALSE
1,93,1,Disease,21,11,heartwater,21,14,chimpanzee,0,healthy,1,infected,0,FALSE
1,94,1,Disease,22,11,heartwater,22,1,antelope,1,infected,0,healthy,0,FALSE
1,95,1,Disease,23,11,heartwater,23,49,sheep,0,healthy,0,healthy,1,FALSE
1,96,1,Disease,24,11,heartwater,24,31,horse,0,healthy,1,infected,0,FALSE
1,97,1,Disease,25,11,heartwater,25,35,lion,1,infected,1,infected,1,FALSE
1,98,1,Disease,26,11,heartwater,26,14,chimpanzee,1,infected,1,infected,1,FALSE
1,99,1,Disease,27,11,heartwater,27,10,camel,1,infected,1,infected,1,FALSE
1,100,1,Disease,28,11,heartwater,28,27,giraffe,1,infected,1,infected,1,FALSE
1,101,1,Disease,29,11,heartwater,29,58,tiger,1,infected,1,infected,1,FALSE
1,102,1,Disease,30,11,heartwater,30,18,cow,0,healthy,0,healthy,1,FALSE
1,103,1,Disease,31,11,heartwater,31,29,gorilla,1,infected,1,infected,1,FALSE
1,104,1,Disease,32,11,heartwater,32,28,goat,0,healthy,0,healthy,1,FALSE
1,105,1,Disease,33,11,heartwater,33,21,dog,1,infected,1,infected,1,FALSE
1,106,1,Disease,34,11,heartwater,34,60,zebra,1,infected,1,infected,1,FALSE
1,107,1,Disease,35,11,heartwater,35,11,cat,1,infected,1,infected,1,FALSE
1,108,1,Disease,36,11,heartwater,36,45,rat,1,infected,1,infected,1,FALSE
1,109,1,Disease,37,11,heartwater,37,5,beaver,1,infected,1,infected,1,FALSE
1,110,1,Disease,38,11,heartwater,38,37,monkey,1,infected,1,infected,1,FALSE
1,111,1,Disease,39,11,heartwater,39,44,rabbit,1,infected,1,infected,1,FALSE
1,112,1,Disease,40,11,heartwater,40,15,chipmunk,1,infected,1,infected,1,FALSE
