"","Antelope","Beaver","Camel","Cat","Chimpanzee"," Chipmunk","Cow","Deer","Dog","Elephant","Giraffe","Goat","Gorilla","Horse","Lion","Monkey","Rabbit","Rat","Sheep","Tiger","Zebra"
"Antelope",NA,0.229559748427673,0.614035087719298,0.132183908045977,0.221288515406162,0.141104294478528,0.511182108626198,0.842948717948718,0.20440251572327,0.479750778816199,0.570200573065903,0.566666666666667,0.246951219512195,0.621621621621622,0.460567823343849,0.224242424242424,0.197530864197531,0.0952380952380952,0.48936170212766,0.421538461538462,0.731012658227848
"Beaver",0.229559748427673,NA,0.153623188405797,0.37910447761194,0.278089887640449,0.626404494382023,0.15527950310559,0.274143302180685,0.385964912280702,0.0890804597701149,0.15,0.259358288770053,0.176151761517615,0.143646408839779,0.14404432132964,0.315942028985507,0.624641833810888,0.510869565217391,0.302941176470588,0.172205438066465,0.15028901734104
"Camel",0.614035087719298,0.153623188405797,NA,0.0865921787709497,0.199445983379501,0.0826666666666667,0.526315789473684,0.513196480938416,0.184573002754821,0.596923076923077,0.645244215938303,0.422287390029326,0.264462809917355,0.638356164383562,0.426086956521739,0.150684931506849,0.115819209039548,0.0828877005347594,0.364145658263305,0.378531073446328,0.566844919786096
"Cat",0.132183908045977,0.37910447761194,0.0865921787709497,NA,0.200527704485488,0.435754189944134,0.264367816091954,0.175074183976261,0.853025936599424,0.0876712328767123,0.0853994490358127,0.288770053475936,0.0991501416430595,0.214876033057851,0.589595375722543,0.243835616438356,0.637119113573407,0.542857142857143,0.322128851540616,0.605970149253731,0.15625
"Chimpanzee",0.221288515406162,0.278089887640449,0.199445983379501,0.200527704485488,NA,0.371014492753623,0.134897360703812,0.213068181818182,0.211267605633803,0.239316239316239,0.266666666666667,0.182584269662921,0.834224598930481,0.154269972451791,0.348314606741573,0.869444444444444,0.198910081743869,0.140921409214092,0.172872340425532,0.281167108753316,0.257703081232493
" Chipmunk",0.141104294478528,0.626404494382023,0.0826666666666667,0.435754189944134,0.371014492753623,NA,0.116343490304709,0.15527950310559,0.318965517241379,0.0890804597701149,0.111413043478261,0.232558139534884,0.272727272727273,0.103658536585366,0.0863095238095238,0.449404761904762,0.68452380952381,0.694050991501416,0.213675213675214,0.131498470948012,0.111111111111111
"Cow",0.511182108626198,0.15527950310559,0.526315789473684,0.264367816091954,0.134897360703812,0.116343490304709,NA,0.570552147239264,0.375739644970414,0.367816091954023,0.36231884057971,0.740740740740741,0.175287356321839,0.800595238095238,0.298461538461538,0.126470588235294,0.238372093023256,0.120343839541547,0.745562130177515,0.275071633237822,0.492753623188406
"Deer",0.842948717948718,0.274143302180685,0.513196480938416,0.175074183976261,0.213068181818182,0.15527950310559,0.570552147239264,NA,0.343283582089552,0.395498392282958,0.475,0.617737003058104,0.208333333333333,0.66969696969697,0.426282051282051,0.156804733727811,0.222222222222222,0.13782991202346,0.585585585585586,0.394984326018809,0.657060518731988
"Dog",0.20440251572327,0.385964912280702,0.184573002754821,0.853025936599424,0.211267605633803,0.318965517241379,0.375739644970414,0.343283582089552,NA,0.160377358490566,0.132432432432432,0.510028653295129,0.138964577656676,0.418461538461538,0.295522388059701,0.194842406876791,0.524926686217009,0.31700288184438,0.59504132231405,0.285714285714286,0.227011494252874
"Elephant",0.479750778816199,0.0890804597701149,0.596923076923077,0.0876712328767123,0.239316239316239,0.0890804597701149,0.367816091954023,0.395498392282958,0.160377358490566,NA,0.654390934844193,0.196531791907514,0.41340782122905,0.423312883435583,0.513931888544892,0.198847262247839,0.0755287009063444,0.0634005763688761,0.220708446866485,0.450793650793651,0.535928143712575
